,hhno,id,pagey,pdiary,pgend,pno,ppaidprk,pproxy,pptyp,psaudist,psautime,psexpfac,pspcl,pstaz,pstyp,ptpass,puwarrp,puwdepp,puwmode,pwaudist,pwautime,pwpcl,pwtaz,pwtyp,year
38,2138,,96,1,Female,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,258.22,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
39,2158,,63,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,70.13,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
40,2163,,61,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,97.49,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
41,2163,,69,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,97.49,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
42,2206,,50,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,279.85,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,7.64,34.31,182708,70,Paid Full-Time Worker,2006
43,2220,,51,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,569.69,-1,-1,Not a Student,0,,,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
44,2220,,25,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,569.69,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
45,2220,,16,1,Female,3,-1,No Proxy,High School Student Age 16+,9.97,24.54,569.69,115784,1041,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
46,2229,,70,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,307.94,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
47,2229,,63,1,Female,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,307.94,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
48,2237,,77,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,119.98,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
49,2237,,81,1,Male,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,119.98,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
50,2238,,76,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,123.57,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
51,2238,,49,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,123.57,-1,-1,Not a Student,1,Before 6 am,Before 3:30 pm,Drive Alone,6.69,33.2,59013,535,Paid Full-Time Worker,2006
52,2254,,59,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,231.76,-1,-1,Not a Student,0,Between 7 and 7:30 am,Between 4 and 4:30 pm,Drive Alone,17.49,37.68,260758,967,Paid Full-Time Worker,2006
53,2262,,52,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,327.43,-1,-1,Not a Student,0,None 4+ Days/Week,Before 3:30 pm,Drive Alone,10.0,22.74,647495,3485,Paid Part-Time Worker,2006
54,2262,,49,1,Male,2,-1,No Proxy,Part-Time Worker,-1.0,-1.0,327.43,-1,-1,Not a Student,0,,,,26.87,44.16,626449,3643,Paid Part-Time Worker,2006
55,2262,,17,1,Male,3,-1,No Proxy,High School Student Age 16+,-1.0,-1.0,327.43,-1,-1,Full-Time Student,0,,,,10.87,30.52,643314,3693,Paid Part-Time Worker,2006
56,2318,,74,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,120.02,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
57,2318,,77,1,Male,2,-1,No Proxy,Part-Time Worker,-1.0,-1.0,120.02,-1,-1,Not a Student,1,,,,5.21,19.21,143326,32,Paid Part-Time Worker,2006
58,2324,,51,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,596.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
59,2324,,38,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,596.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
60,2324,,7,1,Female,3,-1,No Proxy,Child Age 5-15,2.37,11.35,596.12,411421,1158,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
61,2325,,30,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,409.37,-1,-1,Not a Student,0,,,None 4+ Days/Week,13.52,45.35,14704,105,Paid Full-Time Worker,2006
62,2327,,63,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,282.65,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
63,2327,,63,1,Male,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,282.65,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
64,2329,,86,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,397.13,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
65,2329,,82,1,Female,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,397.13,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
66,2330,,52,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,210.61,-1,-1,Not a Student,0,Between 8 and 8:30 am,None 4+ Days/Week,Drive Alone,26.82,43.15,1145455,2399,Paid Full-Time Worker,2006
67,2330,,52,1,Male,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,210.61,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
68,2343,,78,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,262.72,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
69,2354,,51,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,329.44,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
70,2367,,68,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,300.73,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
71,2367,,69,1,Female,2,-1,No Proxy,Non-Working Adult Age 65+,-1.0,-1.0,300.73,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
72,2426,,35,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,234.77,-1,-1,Not a Student,0,,,,7.1,22.4,117147,709,Paid Full-Time Worker,2006
73,2426,,40,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,234.77,-1,-1,Not a Student,1,,,,10.26,30.79,506340,607,Paid Full-Time Worker,2006
74,2456,,55,1,Male,1,-1,,Part-Time Worker,-1.0,-1.0,302.95,-1,-1,Not a Student,0,None 4+ Days/Week,None 4+ Days/Week,Drive Alone,1.72,8.61,956536,2599,Paid Part-Time Worker,2006
75,2456,,49,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,302.95,-1,-1,Not a Student,0,Between 7:30 and 8 am,None 4+ Days/Week,Drive Alone,3.04,13.13,1133364,2624,Paid Full-Time Worker,2006
76,2456,,18,1,Male,3,-1,Proxy,High School Student Age 16+,1.44,6.81,302.95,1105426,2617,Full-Time Student,0,,,,3.64,16.23,1132004,2578,Paid Part-Time Worker,2006
77,2456,,16,1,Male,4,-1,Proxy,High School Student Age 16+,1.44,6.81,302.95,1105426,2617,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
78,2457,,64,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,211.0,-1,-1,Not a Student,0,,,,3.38,18.45,148051,583,Paid Full-Time Worker,2006
79,2457,,63,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,211.0,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
80,2482,,58,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,80.23,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
81,2482,,56,1,Male,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,80.23,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
82,2495,,59,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,96.47,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
83,2495,,66,1,Male,2,-1,,Part-Time Worker,-1.0,-1.0,96.47,-1,-1,Not a Student,0,,,,2.81,15.54,40966,450,Paid Part-Time Worker,2006
84,2502,,59,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,118.64,-1,-1,Not a Student,0,,,,14.64,42.13,110391,1548,Paid Full-Time Worker,2006
85,2502,,60,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,118.64,-1,-1,Not a Student,0,,,,0.19,4.74,393510,733,Paid Full-Time Worker,2006
86,2503,,72,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,210.85,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
87,2503,,49,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,210.85,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
88,2507,,62,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,108.29,-1,-1,Not a Student,0,,,,16.25,45.74,640617,3695,Paid Part-Time Worker,2006
89,2507,,68,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,108.29,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
90,2509,,50,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,260.78,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
91,2512,,47,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,121.67,-1,-1,Not a Student,0,,,,6.45,21.67,208552,762,Paid Full-Time Worker,2006
92,2512,,43,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,121.67,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
93,2535,,81,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,173.45,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
94,2535,,78,1,Female,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,173.45,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
95,2539,,54,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,228.35,-1,-1,Not a Student,0,,,,16.29,39.0,988207,2281,Paid Full-Time Worker,2006
96,2539,,44,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,228.35,-1,-1,Not a Student,0,,,,20.93,45.66,1147912,2391,Paid Full-Time Worker,2006
97,2542,,74,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,82.76,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
98,2543,,63,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,295.78,-1,-1,Not a Student,0,,,,21.52,48.93,152629,1446,Paid Full-Time Worker,2006
99,2543,,57,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,295.78,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
100,2543,,30,1,Female,3,-1,,Full-Time Worker,-1.0,-1.0,295.78,-1,-1,Not a Student,0,,,,8.33,27.94,189062,1663,Paid Full-Time Worker,2006
101,2543,,3,1,Male,4,-1,,Child Age 0-4,-1.0,-1.0,295.78,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
102,2551,,55,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,330.42,-1,-1,Not a Student,0,,,,12.83,37.02,115549,1188,Paid Full-Time Worker,2006
103,2551,,19,1,Female,2,-1,,University Student,12.83,37.02,330.42,115549,1188,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
104,2563,,67,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,317.74,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
105,2563,,72,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,317.74,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
106,2575,,54,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,781.99,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
107,2591,,62,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,185.45,-1,-1,Not a Student,0,Between 7:30 and 8 am,Before 3:30 pm,Drive Alone,3.98,17.08,946507,2946,Paid Part-Time Worker,2006
108,2591,,81,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,185.45,-1,-1,Not a Student,1,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
109,2605,,40,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,281.17,-1,-1,Not a Student,0,,,,19.62,44.86,23145,1792,Paid Full-Time Worker,2006
110,2605,,38,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,281.17,-1,-1,Not a Student,0,,,,15.2,30.84,961555,2419,Paid Full-Time Worker,2006
111,2622,,66,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,268.2,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
112,2622,,64,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,268.2,-1,-1,Not a Student,0,,,,4.81,23.96,716672,2956,Paid Full-Time Worker,2006
113,2658,,49,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,286.44,-1,-1,Not a Student,0,Between 7:30 and 8 am,Between 5:30 and 6 pm,Drive Alone,6.57,16.82,1173675,2135,Paid Full-Time Worker,2006
114,2658,,52,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,286.44,-1,-1,Not a Student,0,,,,29.76,48.01,1146819,2394,Paid Full-Time Worker,2006
115,2673,,60,1,Female,1,-1,,Full-Time Worker,-1.0,-1.0,109.09,-1,-1,Not a Student,1,,,None 4+ Days/Week,11.02,36.05,59022,528,Paid Full-Time Worker,2006
116,2702,,52,-1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,275.86,-1,-1,Not a Student,0,Between 8 and 8:30 am,After 6:30 pm,Drive Alone,3.25,12.67,140727,1169,Paid Part-Time Worker,2006
117,2702,,55,-1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,275.86,-1,-1,Not a Student,0,,,,10.1,22.65,89615,1051,Paid Full-Time Worker,2006
118,2707,,73,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,141.12,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
119,2709,,27,1,Female,1,-1,,University Student,11.52,27.28,515.48,698244,3029,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
120,2709,,30,1,Male,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,515.48,-1,-1,Not a Student,0,,,,16.66,34.57,1500003,3354,Paid Full-Time Worker,2006
121,2736,,80,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,389.75,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
122,2753,,37,1,Male,1,-1,,Full-Time Worker,-1.0,-1.0,137.3,-1,-1,Not a Student,0,,,,16.8,35.66,97276,1045,Paid Full-Time Worker,2006
123,2753,,35,1,Female,2,-1,,Non-Working Adult Age <65,-1.0,-1.0,137.3,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
124,2753,,8,1,Male,3,-1,,Child Age 5-15,2.83,12.95,137.3,9951,691,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
125,2753,,0,1,Male,4,-1,,Child Age 0-4,-1.0,-1.0,137.3,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
126,2759,,21,1,Female,1,-1,Proxy,University Student,15.29,34.25,241.58,115549,1188,Full-Time Student,0,,,,2.19,10.86,157744,1061,Paid Part-Time Worker,2006
127,2759,,51,1,Female,2,-1,,Full-Time Worker,-1.0,-1.0,241.58,-1,-1,Not a Student,0,Between 8 and 8:30 am,None 4+ Days/Week,Drive Alone,3.3,14.51,275093,1031,Paid Full-Time Worker,2006
128,2760,,76,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,326.88,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
129,2773,,77,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,121.73,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
130,2778,,62,1,Male,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,95.65,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
131,2794,,68,1,Female,1,-1,,Part-Time Worker,-1.0,-1.0,118.48,-1,-1,Not a Student,0,,,Drive Alone,2.5,9.03,619961,3529,Paid Part-Time Worker,2006
132,2806,,48,0,Male,1,-1,,Full-Time Worker,-1.0,-1.0,580.28,-1,-1,Not a Student,0,Before 6 am,None 4+ Days/Week,Drive Alone,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
133,2806,,45,0,Female,2,-1,No Proxy,Full-Time Worker,-1.0,-1.0,580.28,-1,-1,Not a Student,0,,,,9.49,28.02,1066643,2570,Paid Full-Time Worker,2006
134,2806,,21,0,Male,3,-1,No Proxy,Full-Time Worker,-1.0,-1.0,580.28,-1,-1,Not a Student,0,,,,5.08,14.76,1057297,2481,Paid Full-Time Worker,2006
135,2806,,19,0,Male,4,-1,No Proxy,Full-Time Worker,-1.0,-1.0,580.28,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Paid Full-Time Worker,2006
136,2806,,16,0,Male,5,-1,No Proxy,High School Student Age 16+,2.39,10.15,580.28,1146810,2324,Full-Time Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
137,2828,,72,1,Male,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,52.14,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
138,2828,,69,1,Female,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,52.14,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
139,2829,,64,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,68.41,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
140,2829,,67,1,Male,2,-1,,Non-Working Adult Age 65+,-1.0,-1.0,68.41,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
141,2839,,65,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,90.66,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
142,2839,,44,1,Male,2,-1,No Proxy,Non-Working Adult Age <65,-1.0,-1.0,90.66,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
143,2844,,81,1,Female,1,-1,,Non-Working Adult Age 65+,-1.0,-1.0,280.59,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
144,2859,,47,1,Female,1,-1,,Non-Working Adult Age <65,-1.0,-1.0,413.06,-1,-1,Not a Student,0,,,,-1.0,-1.0,-1,-1,Not a Paid Worker,2006
145,2859,,47,1,Male,2,-1,,Full-Time Worker,-1.0,-1.0,413.06,-1,-1,Not a Student,0,,,,3.74,22.97,1500003,3354,Paid Full-Time Worker,2006
